,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,victoria,75,BN,1553830200,66,5.28,115.24,91.4,4.7
1,la palma,68,CO,1553832466,98,5.36,-74.39,68.7,1.92
2,thinadhoo,20,MV,1553832386,100,0.53,72.93,83.46,4.61
3,atuona,92,PF,1553832356,100,-9.8,-139.03,80.94,14.12
4,rikitea,48,PF,1553832271,100,-23.12,-134.97,77.52,7.4
5,albany,90,US,1553832171,45,42.65,-73.75,48.99,10.29
6,avarua,32,CK,1553830200,83,-21.21,-159.78,80.6,3.36
7,vaini,0,IN,1553828400,88,15.34,74.49,75.2,3.36
8,pringsewu,68,ID,1553832468,92,-5.36,104.98,80.04,2.71
9,ushuaia,40,AR,1553828400,47,-54.81,-68.31,57.2,18.34
10,saskylakh,48,RU,1553832469,93,71.97,114.09,19.38,13.22
11,new norfolk,75,AU,1553832441,36,-42.78,147.06,75.2,19.46
12,busselton,0,AU,1553832379,25,-33.64,115.35,72.0,15.68
13,margate,75,AU,1553832441,36,-43.03,147.26,75.2,19.46
14,kapaa,90,US,1553832194,88,22.08,-159.32,75.2,10.29
15,castro,90,CL,1553828400,100,-42.48,-73.76,46.4,2.82
16,ovre ardal,92,NO,1553832470,94,61.32,7.8,35.13,7.4
17,cherskiy,48,RU,1553832470,85,68.75,161.3,2.64,7.63
18,puerto baquerizo moreno,0,EC,1553832471,97,-0.9,-89.6,80.58,8.86
19,khatanga,68,RU,1553832471,87,71.98,102.47,21.27,19.82
20,mataura,0,NZ,1553832008,76,-46.19,168.86,63.0,3.0
21,adrar,0,DZ,1553828400,63,27.87,-0.29,62.6,17.22
22,saint-pierre,0,FR,1553832425,93,48.95,4.24,37.99,8.05
23,torbay,5,CA,1553832137,73,47.66,-52.73,25.0,4.7
24,kodiak,90,US,1553832443,93,39.95,-94.76,50.0,12.75
25,huilong,12,CN,1553832473,93,28.89,110.18,64.65,3.15
26,punta arenas,0,CL,1553832146,76,-53.16,-70.91,55.0,8.05
27,kailua,40,US,1553832415,51,21.39,-157.74,80.6,13.87
28,griffith,40,AU,1553832019,37,-34.29,146.06,86.0,18.34
29,leshukonskoye,88,RU,1553832474,84,64.9,45.76,26.67,8.52
30,leningradskiy,80,RU,1553832474,100,69.38,178.42,5.07,12.55
31,lasa,75,CY,1553832030,87,34.92,32.53,57.2,6.93
32,carnarvon,0,ZA,1553832475,55,-30.97,22.13,49.98,3.94
33,puerto ayora,0,EC,1553832027,93,-0.74,-90.35,77.0,9.42
34,lompoc,1,US,1553832472,81,34.64,-120.46,57.99,8.05
35,qaanaaq,36,GL,1553832476,73,77.48,-69.36,-3.4,6.06
36,ponta do sol,48,BR,1553832266,69,-20.63,-46.0,70.5,8.52
37,yellowknife,20,CA,1553832355,73,62.45,-114.38,25.0,3.36
38,ketchikan,1,US,1553828160,46,55.34,-131.65,53.6,3.36
39,arraial do cabo,76,BR,1553832293,100,-22.97,-42.02,69.42,4.38
40,guanica,0,PR,1553832443,86,17.97,-66.91,79.0,5.99
41,southbridge,90,US,1553832448,54,42.08,-72.03,43.0,11.41
42,saint-augustin,0,FR,1553832030,80,44.83,-0.61,41.0,5.61
